epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,107.061,0.92401,0.84327,1.17599,0.99207,0.96923,0.99368,0.81586,0.98432,0.68702,1.31827,0.00119666,0.00119666,0.00119666
59,109.086,1.20022,1.05688,1.25271,0.96718,1,0.99393,0.83299,1.10387,0.70904,1.49563,0.0011884,0.0011884,0.0011884
60,110.99,1.15742,1.20168,1.36676,1,0.95325,0.99242,0.75389,1.24792,0.79906,1.67455,0.00118015,0.00118015,0.00118015
61,112.511,0.94853,0.92703,1.19477,1,0.95266,0.99215,0.7614,1.08411,0.76774,1.45119,0.0011719,0.0011719,0.0011719
62,114.057,0.95842,0.84022,1.20341,0.98478,0.99566,0.99455,0.78984,0.91274,0.69081,1.33914,0.00116365,0.00116365,0.00116365
63,115.63,1.03735,0.8203,1.25276,0.99515,0.98462,0.99456,0.79261,1.00571,0.83609,1.33842,0.0011554,0.0011554,0.0011554
64,117.068,0.77191,0.75122,1.12666,0.99638,1,0.995,0.75415,0.94012,0.66117,1.18769,0.00114715,0.00114715,0.00114715
65,118.642,1.14128,1.09958,1.26832,0.98173,1,0.99485,0.75175,0.89394,0.62299,1.14815,0.00113889,0.00113889,0.00113889
66,120.235,0.91448,0.88829,1.12743,1,0.99012,0.995,0.77226,0.79098,0.59635,1.09872,0.00113064,0.00113064,0.00113064
67,121.781,1.15846,1.04716,1.25544,0.98484,0.99926,0.99455,0.78488,0.78204,0.60903,1.10547,0.00112239,0.00112239,0.00112239
68,123.33,0.97164,0.98651,1.24826,0.99606,1,0.995,0.77172,0.75706,0.58314,1.08218,0.00111414,0.00111414,0.00111414
69,124.775,0.99916,1.06681,1.24696,0.99626,0.98462,0.99485,0.79057,0.73412,0.57439,1.06843,0.00110589,0.00110589,0.00110589
70,126.302,1.09291,0.85937,1.31555,0.9973,0.98462,0.99442,0.81321,0.68242,0.51908,1.04069,0.00109764,0.00109764,0.00109764
71,127.829,1.48526,1.39697,1.62753,0.9982,0.98462,0.99403,0.82526,0.68465,0.50785,1.05102,0.00108938,0.00108938,0.00108938
72,129.343,1.12935,0.88635,1.22574,1,0.97802,0.99333,0.77213,0.84982,0.60703,1.1465,0.00108113,0.00108113,0.00108113
73,130.848,1.03472,1.05013,1.24326,0.98434,0.98462,0.98985,0.79113,0.76324,0.64172,1.10713,0.00107288,0.00107288,0.00107288
74,132.361,0.9431,0.81955,1.16356,0.97011,0.99863,0.99395,0.80549,0.74682,0.56468,1.08648,0.00106463,0.00106463,0.00106463
75,133.88,0.92516,0.78369,1.15426,0.98475,0.99325,0.99409,0.78393,0.77308,0.56329,1.09593,0.00105638,0.00105638,0.00105638
76,135.517,0.99221,0.82222,1.16089,0.99773,1,0.995,0.79104,0.70848,0.48004,1.04838,0.00104813,0.00104813,0.00104813
77,137.009,0.9825,0.81966,1.2089,0.99697,1,0.995,0.79655,0.64797,0.48709,1.02002,0.00103987,0.00103987,0.00103987
78,138.591,1.09592,0.8656,1.3167,0.99857,1,0.995,0.79486,0.65508,0.48599,1.03081,0.00103162,0.00103162,0.00103162
79,140.153,0.94776,0.83389,1.20374,0.99826,1,0.995,0.82054,0.58837,0.49057,0.99924,0.00102337,0.00102337,0.00102337
80,141.708,1.04182,0.8843,1.17356,0.99562,1,0.995,0.77852,0.64837,0.49362,1.00465,0.00101512,0.00101512,0.00101512
81,143.21,0.97982,0.86602,1.16626,0.99373,1,0.995,0.78565,0.67727,0.50729,1.00358,0.00100687,0.00100687,0.00100687
82,144.698,0.89672,0.83894,1.20369,0.99634,1,0.995,0.81219,0.62793,0.46939,0.96585,0.000998616,0.000998616,0.000998616
83,146.22,1.06431,0.79958,1.16165,0.99747,1,0.995,0.81651,0.6531,0.45235,0.97381,0.000990365,0.000990365,0.000990365
84,147.783,0.86793,0.97239,1.14084,0.99704,1,0.995,0.83279,0.67128,0.46224,1.0074,0.000982113,0.000982113,0.000982113
85,149.283,0.84851,0.74356,1.12877,0.99897,1,0.995,0.82249,0.68157,0.4553,1.01757,0.000973861,0.000973861,0.000973861
86,150.777,0.91693,0.72951,1.1233,0.99654,0.98462,0.99485,0.83881,0.64846,0.45039,1.00204,0.00096561,0.00096561,0.00096561
87,152.258,0.75728,0.64634,1.09987,0.98301,1,0.99485,0.84773,0.60242,0.44888,0.97802,0.000957358,0.000957358,0.000957358
